time,event,p1,p2
19.62183064007509,9,271,
19.627521867573144,1,243,409.0
19.644879449845153,4,136,212.0
19.671621294758516,10,1,
19.67391318154433,1,491,295.0
19.71159190748212,1,5,344.0
19.714840915508457,1,300,45.0
19.721049989258532,1,157,464.0
19.74094116844206,10,52,
19.742675149376883,1,333,109.0
19.756749379875767,9,333,
19.75795291046503,2,216,
19.761683613742964,2,22,
19.767403152066294,10,443,
19.76758771012581,1,194,435.0
19.77126686239395,1,177,465.0
19.78923216600821,1,459,456.0
19.796582951183414,10,47,
19.803791831584935,1,24,254.0
19.815274989596023,10,321,
19.848162175813084,10,224,
19.869373764331733,1,220,226.0
19.873859707899715,2,66,
19.88463378209086,2,261,
19.88882699584712,10,377,
19.902560599492176,10,183,
19.903414201237158,1,241,321.0
19.90426451921613,9,186,
19.907463035301515,1,434,154.0
19.91681328325062,10,434,
19.921732771911124,1,53,443.0
19.930268329396796,2,69,
19.930710096638354,1,479,183.0
19.941570214139503,2,230,
19.94741318786581,1,288,335.0
19.948452234627155,9,410,
19.973459303712854,9,28,
20.01340357581983,3,78,140.0
20.01938340164088,9,234,
20.062466142939602,1,257,183.0
20.09798888022477,2,329,
20.111222606078908,7,145,359.0
20.111983555053268,2,344,
20.130063404273216,1,451,146.0
20.137693707582297,1,189,1.0
20.15234548941855,9,252,
20.182198270534418,10,300,
20.182921642525717,1,100,206.0
20.187092026547766,9,87,
20.193023557906074,9,279,
20.194646408058457,4,242,180.0
20.19927990574141,1,26,318.0
20.19999570214569,9,385,
20.216036753202516,10,194,
20.223738444228527,2,223,
20.232962149962795,7,224,216.0
20.24911088412905,9,116,
20.253310981167683,3,313,2.0
20.25664220951876,2,93,
20.26626491599989,7,225,303.0
20.276579385376504,7,351,232.0
20.28696936258321,10,486,
20.290370993945107,1,178,298.0
20.294425262691448,9,73,
20.29717943228027,1,284,84.0
20.30123259180622,10,255,
20.305728742237292,1,317,475.0
20.307333288433945,7,256,87.0
20.309123504565814,2,57,
20.314023884642385,10,46,
20.318781928644096,3,360,63.0
20.32384023697345,1,144,291.0
20.330486652969128,2,234,
20.339814633882067,2,436,
20.346892046232124,1,95,409.0
20.347398218972465,10,323,
20.35253593216635,2,437,
20.358233674185538,3,31,306.0
20.364208795389665,9,269,
20.36561307547969,9,191,
20.37622581581405,1,181,87.0
20.392480890975786,3,268,332.0
20.402900532979693,9,257,
20.415416048765493,10,244,
20.417351877378103,7,178,298.0
20.44007016866498,7,231,244.0
20.463160202461555,7,100,326.0
20.544587455951664,1,484,403.0
20.557868252955245,9,8,
20.578148023664493,2,232,
20.58909050692279,10,39,
20.63410726309205,3,96,128.0
20.648453479848214,1,383,202.0
20.64860693875139,1,74,165.0
20.650458727955588,1,99,475.0
20.651811185223064,2,319,
20.665026231956002,1,155,55.0
20.667692465267393,10,482,
20.678540236236874,7,263,296.0
20.681564326537977,9,96,
20.695367502388116,10,405,
20.697050578465422,1,60,253.0
20.705476291543192,9,376,
20.717485870776432,1,71,1.0
20.72793078128476,2,183,
20.75719952771591,10,101,
20.762161357234728,10,19,
20.777326882945378,8,410,109.0
20.796347369188357,1,204,255.0
20.796932752719595,1,141,467.0
20.799277032534565,10,371,
20.79978604775638,2,152,
20.801180164957998,10,144,
20.806858844418862,2,52,
20.830856525554083,9,5,
20.833130712050362,10,397,
20.833611349162684,2,3,
20.850699481323065,9,288,
20.86641158356858,2,28,
20.881558059302606,2,482,
20.9048335895358,10,201,
